slug,name,id
bitcoin,Bitcoin,1
litecoin,Litecoin,2
namecoin,Namecoin,3
terracoin,Terracoin,4
peercoin,Peercoin,5
feathercoin,Feathercoin,8
freicoin,Freicoin,10
ixcoin,Ixcoin,13
worldcoin,WorldCoin,16
poloniex,Poloniex,16
digitalcoin,Digitalcoin,18
bittrex,Bittrex,22
kraken,Kraken,24
goldcoin,Goldcoin,25
fastcoin,Fastcoin,32
bleutrade,Bleutrade,32
bittylicious,Bittylicious,34
phoenixcoin,Phoenixcoin,35
cex-io,CEX.IO,36
megacoin,Megacoin,37
bitfinex,Bitfinex,37
infinitecoin,Infinitecoin,41
primecoin,Primecoin,42
hitbtc,HitBTC,42
anoncoin,Anoncoin,43
casinocoin,CasinoCoin,45
emerald,Emerald Crypto,50
exmo,EXMO,50
xrp,XRP,52
quark,Quark,53
zetacoin,Zetacoin,56
tagcoin,TagCoin,61
okcoin,Okcoin,61
pin,PIN,64
nxt,Nxt,66
unobtanium,Unobtanium,67
indodax,Indodax,68
datacoin,Datacoin,69
bitstamp,Bitstamp,70
deutsche-emark,Deutsche eMark,72
itbit,itBit,72
zaif,Zaif,73
dogecoin,Dogecoin,74
diamond,Diamond,77
therocktrading,The Rock Trading,77
hobonickels,HoboNickels,78
orbitcoin,Orbitcoin,80
coinmate,CoinMate,80
bitbay,BitBay,82
omni,Omni,83
fedoracoin,FedoraCoin,87
coinbase-exchange,Coinbase Exchange,89
dimecoin,Dimecoin,90
42-coin,42-coin,93
bitex-la,Bitex.la,95
bitonic,Bitonic,96
vertcoin,Vertcoin,99
yobit,YoBit,100
huobi-global,Huobi Global,102
litebit,LiteBit.eu,104
coincheck,Coincheck,106
digibyte,DigiByte,109
liquid,Liquid,112
smartcoin,SmartCoin,113
redd,ReddCoin,118
southxchange,SouthXchange,121
potcoin,PotCoin,122
blakecoin,Blakecoin,125
bitso,Bitso,125
btcbox,BTCBOX,127
maxcoin,Maxcoin,128
dash,Dash,131
counterparty,Counterparty,132
coincorner,CoinCorner,137
bitflyer,bitFlyer,139
mintcoin,MintCoin,141
isx,ISX,142
dopecoin,DopeCoin,145
auroracoin,Auroracoin,148
pesetacoin,Peseta Digital,151
gemini,Gemini,151
marscoin,Marscoin,154
dex-trade,Dex-Trade,154
exrates,Exrates,155
bitmex,BitMEX,157
independent-reserve,Independent Reserve,166
uniform-fiscal-object,Uniform Fiscal Object,168
blackcoin,BlackCoin,170
luno,Luno,171
coinone,Coinone,174
photon,Photon,175
myriad,Myriad,182
dnotes,DNotes,184
bisq,Bisq,191
korbit,Korbit,194
bithumb,Bithumb,200
einsteinium,Einsteinium,201
lykke-exchange,Lykke Exchange,201
coinfloor,Coinfloor,202
kuna,Kuna,209
eccoin,ECC,212
monacoin,MonaCoin,213
mercatox,Mercatox,213
rubycoin,Rubycoin,215
p2pb2b,P2PB2B,215
belacoin,Bela,217
tidex,Tidex,219
heat-wallet,Heat Wallet,221
freiexchange,FreiExchange,223
faircoin,FairCoin,224
btc-markets,BTC Markets,224
paribu,Paribu,225
btc-alpha,BTC-Alpha,228
coingi,Coingi,232
solarcoin,SolarCoin,233
e-gulden,e-Gulden,234
ripplefox,RippleFox,234
gatehub,Gatehub,235
ripple-china,Ripple China,238
coss,COSS,242
btcturk-pro,BtcTurk | Pro,243
stex,STEX,245
waves-exchange,Waves Exchange,246
koinim,Koinim,248
stellar-decentralized-exchange,Stellarterm,249
buda,Buda,250
btc-trade-ua,BTC Trade UA,252
localtrade,LocalTrade,253
gulden,Gulden,254
bitbank,Bitbank,257
groestlcoin,Groestlcoin,258
mercado-bitcoin,Mercado Bitcoin,258
petrodollar,PetroDollar,260
altcoin-trader,Altcoin Trader,261
plncoin,PLNcoin,263
bitstamp-ripple-gateway,Bitstamp (Ripple Gateway),265
bancor-network,Bancor Network,267
whitecoin,WhiteCoin,268
binance,Binance,270
popularcoin,PopularCoin,275
bitstar,Bitstar,276
quebecoin,Quebecoin,278
bits-blockchain,Bits Blockchain,278
tidebit,Tidebit,280
oasis,Oasis,286
bluecoin,BlueCoin,290
cryptomarket,CryptoMarket,290
maidsafecoin,MaidSafeCoin,291
bitcoin-plus,Bitcoin Plus,293
okex,OKEx,294
newyorkcoin,NewYorkCoin,298
bitz,BitZ,300
gate-io,Gate.io,302
idex,IDEX,310
kucoin,KuCoin,311
pinkcoin,Pinkcoin,313
dreamcoin,Dreamcoin,316
bitcointrade,BitcoinTrade,316
topbtc,TOPBTC,317
aex,AEX,319
coinfalcon,CoinFalcon,320
coinut,Coinut,321
energycoin,Energycoin,322
vericoin,VeriCoin,323
satang-pro,Satang Pro,325
zb-com,ZB.COM,326
monero,Monero,328
bigone,BigONE,330
litecoin-plus,Litecoin Plus,331
exx,EXX,331
curecoin,Curecoin,333
lbank,LBank,333
gopax,GOPAX,335
bibox,Bibox,339
supercoin,SuperCoin,341
coinbene,CoinBene,343
coinex,CoinEx,350
upbit,Upbit,351
otcbtc,OTCBTC,353
tradeogre,TradeOgre,354
vebitcoin,Vebitcoin,355
motocoin,Motocoin,360
c-patex,C-Patex,360
cloakcoin,CloakCoin,362
crxzone,CRXzone,362
fatbtc,Fatbtc,363
paymium,Paymium,364
bitsend,BitSend,366
coin2-1,Coin2.1,367
ddex,DDEX,367
rudex,RuDEX,369
zebpay,ZebPay,370
bytecoin-bcn,Bytecoin,372
bitbns,Bitbns,376
nav-coin,Navcoin,377
latoken,LATOKEN,380
crex24,Crex24,382
bithesap,Bithesap,384
cryptonex,Cryptonex,385
startcoin,Startcoin,389
cointiger,CoinTiger,391
b2bx,B2BX,392
dragonex,DragonEX,398
hotbit,Hotbit,400
switcheo,Switcheo Network,401
coinsuper,Coinsuper,402
bitforex,BitForex,403
kyber-network,Kyber Network,404
digitalnote,DigitalNote,405
coindeal,Coindeal,405
boolberry,Boolberry,406
bitmart,BitMart,406
digifinex,DigiFinex,407
tokenomy,Tokenomy,411
bilaxy,Bilaxy,415
hempcoin,HempCoin,416
graviex,Graviex,419
idcm,IDCM,421
abcc,ABCC,422
hoo,Hoo,424
wazirx,WazirX,425
allbit,Allbit,426
bitfront,Bitfront,427
zbg,ZBG,430
bitrue,Bitrue,433
yunex,YunEx,434
bitkub,Bitkub,436
bgogo,Bgogo,438
cryptology,Cryptology,440
coinbit,Coinbit,442
gdac,GDAC,443
tokok,TOKOK,446
stealth,Stealth,448
coineal,Coineal,452
ascendex,AscendEX (Bitmax),453
polonidex,PoloniDEX,456
bbx,BBX,458
bw-com,BW.com,459
clams,Clams,460
coinsbit,Coinsbit,460
bitshares,BitShares,463
huobi-korea,Huobi Korea,463
oceanex,OceanEx,468
viacoin,Viacoin,470
probit-exchange,ProBit Global,477
bhex-bluehelix,BHEX (BlueHelix Exchange),478
dcoin,Dcoin,479
catex,Cat.Ex,480
alterdice,Alterdice,481
bkex,BKEX,482
hanbitco,Hanbitco,483
coinfield,CoinField,485
binance-dex,Binance DEX,486
vindax,VinDAX,487
coinmetro,CoinMetro,488
bithumb-global,Bithumb Global,489
safetrade,SafeTrade,491
velic,VELIC,492
iocoin,I/O Coin,495
folgory,Folgory,495
exnomy,Exnomy,496
bione,BiONE,497
polyx,Polyx,498
tokenize-xchange,Tokenize Xchange,500
cryptonite,Cryptonite,501
whitebit,WhiteBIT,501
carboncoin,Carboncoin,502
birake-network,Birake Network,503
zg-com,ZG.com,504
cbx,CBX,505
cannabiscoin,CannabisCoin,506
chainx,ChainX,506
stellar,Stellar,512
bitget,Bitget,513
finexbox,Finexbox,514
dydx,dYdX,516
coinw,CoinW,517
triv-pro,Triv Pro,518
bitvavo,Bitvavo,520
bybit,Bybit,521
deribit,Deribit,522
beaxy,Beaxy,523
ftx,FTX,524
xt,XT.COM,525
biki,BiKi,528
btc-exchange,BTC-exchange,531
bitexbook,BITEXBOOK,533
exmarkets,ExMarkets,535
virtuse-exchange,Virtuse Exchange,537
coinflex,CoinFLEX,538
syscoin,Syscoin,541
bitsonic,Bitsonic,542
mxc,MEXC,544
bitsdaq,Bitsdaq,545
donu,Donu,551
loex,LOEx,553
globitex,Globitex,554
emercoin,Emercoin,558
paybito,PayBito,561
txbit,Txbit,562
secondbtc,SecondBTC,564
satoexchange,SatoExchange,566
cross-exchange,CROSS exchange,568
rabbitcoin,RabbitCoin,572
burst,Burst,573
wbf-exchange,WBF Exchange,574
gamecredits,GameCredits,576
coredax,COREDAX,576
serenity,Serenity,577
basefex,BaseFEX,583
native-coin,NativeCoin,584
bitstorage,BITStorage,585
indoex,IndoEx,587
ubiq,Ubiq,588
bitci,Bitci,594
opal,Opal,597
bitpanda-pro,Bitpanda Pro,597
bankcex,BankCEX,599
acoin,Acoin,601
bithumb-singapore,Bithumb Singapore,601
hcoin,HCoin,602
50x,50x,603
bitvast,Bitvast,613
binance-jex,Binance JEX,615
novadax,NovaDAX,622
bitcny,bitCNY,624
qtrade,qTrade,625
nubits,NuBits,626
ecxx,Ecxx,629
binance-us,Binance.US,630
exclusivecoin,ExclusiveCoin,633
bitsten,Bitsten,636
trollcoin,Trollcoin,638
paritex,Paritex,638
coinhe,CoinHe,640
exir,EXIR,641
coinzo,Coinzo,643
globalboost-y,GlobalBoost-Y,644
foblgate,FOBLGATE,644
bitubu,BitUBU,645
artis-turba,Artis Turba,647
bitexlive,BITEXLIVE,653
timex,TimeX,655
prime-xi,Prime-XI,656
omgfin,Omgfin,656
coinjar,CoinJar,657
btse,BTSE,658
bitswift,Bitswift,659
bitclude,BitClude,665
bqt,BQT,674
trontrade,TronTrade,687
verge,Verge,693
aofex,AOFEX,698
nushares,NuShares,699
currency-com,Currency.com,699
spreadcoin,SpreadCoin,702
newdex,Newdex,702
rimbit,Rimbit,703
delta-exchange,Delta Exchange,705
monetaryunit,MonetaryUnit,706
blocknet,Blocknet,707
bitopro,BitoPro,717
limitless-vip,Limitless VIP,719
crown,Crown,720
rekeningku-com,Rekeningku.com,723
gcn-coin,GCN Coin,730
emirex,Emirex,731
quotient,Quotient,733
vcc-exchange,VCC Exchange,733
dove-wallet,Dove Wallet,738
ace,ACE,741
vitex,ViteX,756
okcash,OKCash,760
huobi-indonesia,Huobi Indonesia,760
paycoin2,PayCoin,764
ataix,ATAIX,766
circuits-of-value,Circuits of Value,788
nexus,Nexus,789
pionex,Pionex,790
zt,ZT,791
bitbuy,Bitbuy,792
smileycoin,SmileyCoin,799
digitalexchange-id,digitalexchange.id,802
xcalibra,Xcalibra,806
kobocoin,Kobocoin,815
decoin,Decoin,818
bean-cash,Bean Cash,819
geocoin,GeoCoin,823
tether,Tether,825
wild-beast-block,Wild Beast Block,831
gridcoin,Gridcoin,833
nominex,Nominex,834
prizmbit,Prizmbit,835
x-coin,X-Coin,837
nicehash,NiceHash,844
emx,EMX,845
bidesk,Bidesk,849
aax,AAX,853
tokenlon,Tokenlon,856
songcoin,SongCoin,857
bitcoin-com-exchange,Bitcoin.com Exchange,857
woodcoin,Woodcoin,859
stakecube,StakeCube,863
tokencan,TOKENCAN,865
max-exchange,MAX Exchange,868
nem,NEM,873
crypterum,Crypterum,889
bitay,Bitay,890
neutron,Neutron,894
xaurum,Xaurum,895
californium,Californium,898
duedex,DueDEX,898
etorox,eToroX,904
valr,VALR,908
advanced-internet-blocks,Advanced Internet Blocks,911
sphere,Sphere,914
mediccoin,MedicCoin,916
bubble,Bubble,918
atomars,ATOMARS,918
universal-currency,Universal Currency,921
stormgain,StormGain,922
namebase,Namebase,925
parkbyte,ParkByte,934
biconomy,Biconomy,937
arbit,ARbit,938
hotcoin-global,Hotcoin Global,943
bata,Bata,945
audiocoin,AudioCoin,948
coindcx,CoinDCX,949
synergy,Synergy,951
phemex,Phemex,955
farhadmarket,FarhadMarket,958
fujicoin,FujiCoin,960
resfinex,Resfinex,966
gravitycoin,GravityCoin,977
ratecoin,Ratecoin,978
loopring-exchange,Loopring Exchange,983
crevacoin,CrevaCoin,986
bitribe,Bitribe,987
bitzeny,Bitzeny,990
bowscoin,BowsCoin,993
chiliz,Chiliz,997
helleniccoin,Hellenic Coin,1004
jubi-exchange,Jubi,1006
giottus,Giottus,1009
coinlist-pro,Coinlist Pro,1011
felixo,Felixo,1012
manna,Manna,1019
axiom,Axiom,1020
bittup,BITTUP,1022
aeon,Aeon,1026
ethereum,Ethereum,1027
coinzoom,CoinZoom,1029
transfercoin,TransferCoin,1032
guccionecoin,GuccioneCoin,1033
amsterdamcoin,AmsterdamCoin,1035
agoras-tokens,Agoras Tokens,1037
flybit,Flybit,1037
eurocoin,Eurocoin,1038
siacoin,Siacoin,1042
global-currency-reserve,Global Currency Reserve,1044
compound,Compound,1044
gokumarket,GokuMarket,1049
shift,Shift,1050
vector,VectorAI,1052
1inch-exchange,1inch Exchange,1052
bolivarcoin,Bolivarcoin,1053
deversifi,DeversiFi,1057
balancer,Balancer,1062
curve-finance,Curve Finance,1063
bingbon,Bingbon,1064
pakcoin,Pakcoin,1066
coincasso,CoinCasso,1066
uniswap-v2,Uniswap (V2),1069
expanse,Expanse,1070
nash-exchange,Nash,1070
aprobit,APROBIT,1071
crosstower,CrossTower,1075
sibcoin,SIBCoin,1082
synthetix-exchange,Synthetix Exchange,1084
swing,Swing,1085
zipmex,Zipmex,1085
factom,Factom,1087
parallelcoin,ParallelCoin,1089
save-and-gain,Save and Gain,1090
narkasa,Narkasa,1091
bamboo-relay,Bamboo Relay,1092
ripio,Ripio,1100
mooniswap,Mooniswap,1102
nexus-mutual,Nexus Mutual,1103
augur,Augur,1104
stronghands,StrongHands,1106
aave,Aave,1106
pac-protocol,PAC Protocol,1107
0x-protocol,0x Protocol,1107
kickex,KickEX,1112
cybex-dex,Cybex DEX,1113
tokensets,TokenSets,1115
justswap,JustSwap,1116
azbit,Azbit,1117
draftcoin,DraftCoin,1120
changelly-pro,Changelly PRO,1128
equos,EQONEX,1129
bitcoiva,Bitcoiva,1131
xtheta-global,Xtheta Global,1132
mexo-exchange,Mexo Exchange,1133
clubcoin,ClubCoin,1135
adzcoin,Adzcoin,1136
bitexen,Bitexen,1138
serum-dex,Serum DEX,1140
sushiswap,Sushiswap,1141
koinbazar,Koinbazar,1145
avatarcoin,AvatarCoin,1146
crypto-com-exchange,Crypto.com Exchange,1149
sinegy-marketplace,SINEGY Marketplace,1152
validity,Validity,1154
dsdaq,Dsdaq,1154
litecred,Litecred,1155
yocoin,Yocoin,1156
anyswap,Anyswap,1157
salus,SaluS,1159
bit-com,Bit.com,1161
hotbit-korea,HOTBIT KOREA,1162
francs,Francs,1164
evil-coin,Evil Coin,1165
pancakeswap,PancakeSwap,1165
decred,Decred,1168
pivx,PIVX,1169
safex-token,Safex Token,1172
rubies,Rubies,1175
sashimiswap,SashimiSwap,1175
ftx-us,FTX US,1177
acdx,ACDX,1179
aryana,Aryana,1180
deepcoin,Deepcoin,1182
mov,MOV,1184
trumpcoin,TrumpCoin,1185
bitwell,BitWell,1186
dodo,DODO,1187
honeyswap,Honeyswap,1190
memetic,Memetic / PepeCoin,1191
independent-money-system,Independent Money System,1194
julswap,JulSwap,1196
nevacoin,NevaCoin,1200
luaswap,LuaSwap,1206
bvnex,Bvnex,1208
posex,PosEx,1209
cabbage,Cabbage,1210
mojocoin,MojoCoin,1212
bepswap,BEPSwap,1212
mento,Mento,1213
lisk,Lisk,1214
edrcoin,EDRCoin,1216
postcoin,PostCoin,1218
berncash,BERNcash,1223
bit4you,bit4you,1226
digixdao,DigixDAO,1229
steem,Steem,1230
klayswap,KLAYswap,1232
venus,Venus,1234
defichain-dex,DeFiChain DEX,1235
kulap,KULAP,1236
demex,Demex,1240
fuzzballs,FuzzBalls,1241
cryptobuyer-pro,Cryptobuyer Pro,1241
linkswap,LINKSWAP,1243
hicoin,HiCoin,1244
aquariuscoin,AquariusCoin,1247
bitcoin-21,Bitcoin 21,1248
zurcoin,Zurcoin,1250
2give,2GIVE,1252
platinumbar,PlatinumBAR,1254
blockchain-com-exchange,Blockchain.com,1254
lanacoin,LanaCoin,1257
ponzicoin,PonziCoin,1259
terraswap,Terraswap,1259
openocean,OpenOcean,1261
1inch-liquidity-protocol,1inch Liquidity Protocol,1262
martexcoin,MarteXcoin,1266
wanswap,Wanswap,1267
citadel,Citadel,1273
waves,Waves,1274
idex-bsc,IDEX BSC,1275
powercoin,PWR Coin,1279
mdex,MDEX,1279
ion,ION,1281
high-voltage,High Voltage,1282
goldblocks,GoldBlocks,1285
wootrade,Wootrade,1289
comet,Comet,1291
quickswap,QuickSwap,1293
rise,Rise,1294
lcx-exchange,LCX Exchange,1295
chesscoin,ChessCoin,1297
library-credit,LBRY Credits,1298
putincoin,PutinCoin,1299
perpetual-protocol,Perpetual Protocol,1301
bakeryswap,BakerySwap,1302
dfyn-network,Dfyn Network,1304
cryptojacks,Cryptojacks,1306
heat-ledger,HEAT,1308
steem-dollars,Steem Dollars,1312
bloctoswap,BloctoSwap,1313
kwikswap,Kwikswap,1314
put-on-your-metamask,Put on your metamask!!!,1315
dodo-bsc,DODO BSC,1319
ardor,Ardor,1320
swipeswap,SwipeSwap,1320
ethereum-classic,Ethereum Classic,1321
plasmaswap,PlasmaSwap,1325
thorchain-erc20,THORChain (ERC20),1327
mdex-bsc,MDEX(BSC),1329
kyberdmm,KyberDMM (Kyber Dynamic Market Make Protocol),1333
unicly,Unicly,1334
ubeswap,Ubeswap,1339
karbo,Karbo,1340
pangolin,Pangolin,1340
raydium,Raydium,1342
stratis,Stratis,1343
pancakeswap-v2,PancakeSwap (V2),1344
polyzap,PolyZap,1346
comethswap,ComethSwap,1347
uniswap-v3,Uniswap (V3),1348
aces,Aces,1351
tajcoin,TajCoin,1353
spiritswap,SpiritSwap,1359
veltor,Veltor,1368
neo,Neo,1376
nut-money,NUT MONEY,1380
bitcloud,Bitcloud,1381
nolimitcoin,NoLimitCoin,1382
zayedcoin,Zayedcoin,1389
pluton,Pluton,1392
dollarcoin,Dollarcoin,1395
mustangcoin,MustangCoin,1396
proud-money,PROUD Money,1398
pepe-cash,Pepe Cash,1405
singulardtv,SingularDTV,1409
firo,Firo,1414
arcticcoin,Advanced Technology Coin,1434
zcash,Zcash,1437
allsafe,AllSafe,1439
zclassic,ZClassic,1447
lykke,Lykke,1454
golem-network-tokens,Golem,1455
internet-of-people,Internet of People,1464
hush,Hush,1466
kurrent,Kurrent,1468
pascal,Pascal,1473
eternity,Eternity,1474
incent,Incent,1475
decent,DECENT,1478
vslice,vSlice,1483
obyte,Obyte,1492
posw-coin,PoSW Coin,1495
luna-coin,Luna Coin,1496
wings,Wings,1500
jupiter,Jupiter,1503
inflationcoin,InflationCoin,1504
alias,Alias,1505
purevidz,PureVidz,1511
icobid,ICOBID,1514
ibank,iBank,1515
maker,Maker,1518
komodo,Komodo,1521
firstcoin,FirstCoin,1522
waves-community-token,Waves Community Token,1527
iconic,Iconic,1528
global-cryptocurrency,Global Cryptocurrency,1531
centurion,Centurion,1546
enzyme,Enzyme,1552
chrono-tech,Chrono.tech,1556
argus,Argus,1558
swarm-city,Swarm City,1562
nano,Nano,1567
zero,Zero,1578
netko,Netko,1582
ark,Ark,1586
dynamic,Dynamic,1587
tokes,Tokes,1588
mercury,Mercury,1590
edgeless,Edgeless,1596
mavro,Mavro,1599
universe,Universe,1605
solaris,Solaris,1606
asch,Asch,1609
skycoin,Skycoin,1619
blazercoin,BlazerCoin,1623
atmos,Atmos,1624
zennies,Zennies,1629
coinonat,Coinonat,1630
concoin,Concoin,1632
xtrabytes,XTRABYTES,1636
rlc,iExec RLC,1637
trust,WeTrust,1638
speedcash,SpeedCash,1651
bitcore,BitCore,1654
bitvolt,Bitvolt,1657
lunyr,Lunyr,1658
gnosis-gno,Gnosis,1659
monolith,Monolith,1660
humaniq,Humaniq,1669
minereum,Minereum,1673
cannation,Cannation,1674
crea,CREA,1676
etheroll,Etheroll,1677
